host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,property_type,city,rating,no._of_bedrooms,no._of_beds,no._of_baths
Brigitte,Ward 57,-33.94762,18.47599,Entire home/apt,650.0,3,75,2023-12-23,0.58,1,306,6,Home,Cape Town,4.81,1.0,1.0,1.0
Dirk,Ward 23,-33.80001,18.46063,Entire home/apt,4029.0,2,45,2023-12-03,0.37,3,294,6,Home,Cape Town,4.82,3.0,4.0,3.0
Linda,Ward 23,-33.78826,18.4594,Entire home/apt,2000.0,4,0,,,4,354,0,Rental unit,Cape Town,,3.0,5.0,2.0
Georg,Ward 4,-33.858356,18.490376,Private room,2377.0,2,7,2022-06-16,0.05,6,83,0,Rental unit,Cape Town,5.0,1.0,2.0,1.0
Alexa,Ward 115,-33.91115,18.41235,Entire home/apt,2500.0,14,2,2016-04-15,0.02,1,365,0,Rental unit,Cape Town,,1.0,1.0,1.0
Chris+Alison,Ward 71,-34.03672,18.43006,Entire home/apt,2000.0,2,11,2022-01-17,0.08,3,0,0,Guesthouse,Cape Town,5.0,2.0,4.0,1.0
Ian,Ward 112,-33.83074,18.63142,Entire home/apt,650.0,3,0,,,1,0,0,Guest suite,Cape Town,,2.0,2.0,1.0
Jean,Ward 115,-33.92876,18.42247,Entire home/apt,690.0,30,23,2022-08-24,0.14,1,301,0,Rental unit,Cape Town,4.36,1.0,1.0,1.0
Kevin,Ward 54,-33.9659,18.37724,Entire home/apt,111607.0,4,2,2023-03-01,0.03,5,264,1,Villa,Cape Town,,6.0,6.0,6.0
Cheryl,Ward 59,-33.99612,18.46563,Entire home/apt,1279.0,2,15,2023-10-22,0.13,3,107,1,Guesthouse,Cape Town,5.0,1.0,1.0,1.0
Abe,Ward 2,-33.89034,18.58852,Private room,1091.0,7,0,,,1,0,0,Home,Cape Town,,1.0,4.0,2.0
Beverley,Ward 59,-33.97918,18.45549,Entire home/apt,700.0,2,113,2023-12-14,0.78,5,292,22,Guest suite,Cape Town,4.95,1.0,1.0,1.0
Ingrid,Ward 77,-33.92674,18.40597,Entire home/apt,1400.0,1,6,2023-03-29,0.07,1,36,3,Rental unit,Cape Town,5.0,2.0,2.0,1.0
Cherry,Ward 103,-33.84229,18.67832,Private room,3699.0,2,0,,,1,0,0,Rental unit,Cape Town,,1.0,3.0,1.0
Ricardo,Ward 5,-33.87208,18.53586,Private room,1849.0,7,0,,,1,0,0,Home,Cape Town,,1.0,1.0,1.0
Debbie,Ward 73,-34.0259,18.48428,Private room,1580.0,1,0,,,1,0,0,Rental unit,Cape Town,,1.0,1.0,1.0
Jaco,Ward 115,-33.92423,18.42283,Entire home/apt,2375.0,3,14,2022-09-02,0.11,83,257,0,Rental unit,Cape Town,4.0,1.0,1.0,1.0
Daniel,Ward 64,-34.13647,18.41994,Entire home/apt,6800.0,5,1,2023-01-03,0.08,2,282,1,Villa,Cape Town,,3.0,3.0,3.0
John,Ward 57,-33.9345,18.46529,Private room,3912.0,14,0,,,1,0,0,Rental unit,Cape Town,,1.0,1.0,1.0
Bronwyn,Ward 84,-34.10292,18.8709,Entire home/apt,10171.0,7,0,,,1,0,0,Home,Cape Town,,4.0,8.0,2.0
Gill,Ward 64,-34.09151,18.48337,Private room,1387.0,3,0,,,1,0,0,Home,Cape Town,,1.0,1.0,2.0
Steven,Ward 55,-33.88595,18.48791,Entire home/apt,1900.0,10,17,2023-03-21,0.13,1,305,2,Home,Cape Town,4.76,2.0,2.0,2.0
Lizzie,Ward 54,-33.91449,18.39401,Entire home/apt,1400.0,5,11,2023-01-07,0.08,1,2,1,Rental unit,Cape Town,4.8,1.0,1.0,1.0
Sandra,Ward 58,-33.95784,18.48782,Entire home/apt,1394.0,7,16,2023-01-09,0.1,1,29,1,Home,Cape Town,5.0,3.0,4.0,3.0
Don,Ward 77,-33.93915,18.42456,Entire home/apt,842.0,2,268,2023-12-16,1.99,1,294,12,Rental unit,Cape Town,4.9,1.0,2.0,1.0
Chris+Alison,Ward 71,-34.03691,18.43124,Hotel room,1200.0,2,0,,,3,0,0,Serviced apartment,Cape Town,,2.0,1.0,1.0
Chris+Alison,Ward 71,-34.03711,18.43086,Entire home/apt,1400.0,2,5,2022-02-20,0.04,3,0,0,Rental unit,Cape Town,5.0,1.0,2.0,1.0
Alan,Ward 115,-33.92456,18.42238,Entire home/apt,2201.0,4,274,2023-12-13,2.33,1,218,7,Loft,Cape Town,4.78,No bedroom,2.0,1.0
Dave,Ward 107,-33.82157,18.48436,Private room,950.0,28,35,2020-02-17,0.24,6,301,0,Home,Cape Town,4.76,1.0,3.0,1.0
Dave,Ward 107,-33.82063,18.48376,Private room,881.0,28,25,2022-12-19,0.16,6,362,0,Guest suite,Cape Town,4.9,1.0,2.0,1.0
Dave,Ward 107,-33.81963,18.48455,Entire home/apt,950.0,2,30,2022-02-12,0.2,6,359,0,Rental unit,Cape Town,4.68,1.0,2.0,1.0
Gayle,Ward 54,-33.91788,18.38626,Entire home/apt,3746.0,2,34,2023-12-23,0.23,5,279,4,Rental unit,Cape Town,4.53,2.0,3.0,1.0
Heather,Ward 61,-34.138901,18.328859,Entire home/apt,5000.0,2,15,2022-12-31,0.11,3,353,1,Home,Cape Town,4.87,4.0,4.0,4.0
Christan,Ward 115,-33.91017,18.41032,Entire home/apt,4043.0,4,23,2023-01-06,0.16,1,181,2,Home,Cape Town,4.91,2.0,2.0,1.0
Chris,Ward 115,-33.91136,18.41357,Entire home/apt,1230.0,2,29,2023-12-18,0.22,2,314,5,Guest suite,Cape Town,4.79,1.0,2.0,1.0
Chris,Ward 115,-33.91136,18.41357,Entire home/apt,6800.0,3,184,2023-11-14,1.38,2,247,14,Home,Cape Town,4.89,4.0,5.0,4.0
Rob,Ward 84,-34.08073,18.85926,Entire home/apt,1925.0,3,2,2023-03-07,0.03,1,347,1,Home,Cape Town,,2.0,2.0,1.0
Carey,Ward 64,-34.10327,18.47259,Entire home/apt,450.0,1,37,2022-05-31,0.28,1,208,0,Guest suite,Cape Town,4.86,2.0,1.0,1.0
Antony,Ward 77,-33.93149,18.40555,Private room,1607.0,2,43,2019-01-01,0.28,7,36,0,Home,Cape Town,4.69,1.0,1.0,1.0
Rob,Ward 57,-33.93292,18.44942,Entire home/apt,1100.0,7,6,2019-01-07,0.05,1,345,0,Home,Cape Town,4.33,2.0,2.0,1.0
Lisa,Ward 77,-33.92842,18.40144,Entire home/apt,9593.0,5,16,2019-05-03,0.13,1,302,0,Home,Cape Town,4.73,4.0,5.0,3.0
Mike,Ward 23,-33.80609,18.46716,Entire home/apt,1073.0,2,21,2021-12-24,0.19,3,316,0,Rental unit,Cape Town,4.85,2.0,3.0,1.0
Mary-Louise,Ward 54,-33.9469,18.37914,Entire home/apt,16750.0,1,92,2023-10-13,0.85,13,313,17,Rental unit,Cape Town,4.9,4.0,5.0,4.0
Mary-Louise,Ward 54,-33.94707,18.37825,Entire home/apt,12000.0,1,103,2023-12-08,0.96,13,245,11,Rental unit,Cape Town,4.92,2.0,3.0,2.0
Oliver,Ward 77,-33.9386,18.39868,Entire home/apt,13328.0,7,24,2023-01-02,0.16,1,74,1,Home,Cape Town,4.96,4.0,4.0,3.0
Roy,Ward 115,-33.91177,18.40159,Entire home/apt,1950.0,3,37,2022-09-30,0.33,1,167,0,Rental unit,Cape Town,4.81,1.0,1.0,1.0
Randolf,Ward 115,-33.91026,18.40473,Entire home/apt,10714.0,2,21,2023-12-15,0.88,2,262,9,Home,Cape Town,5.0,4.0,5.0,2.0
Tim,Ward 74,-34.04001,18.36203,Entire home/apt,3226.0,3,21,2023-12-24,0.17,1,56,6,Home,Cape Town,4.95,3.0,5.0,2.0
Doreen,Ward 77,-33.93136,18.40629,Entire home/apt,3200.0,1,33,2018-09-02,0.23,5,255,0,Place to stay,Cape Town,4.7,2.0,2.0,1.0
Michaela,Ward 55,-33.88519,18.48619,Entire home/apt,1434.0,4,25,2022-09-30,0.21,1,46,0,Home,Cape Town,4.92,2.0,2.0,1.0
Doreen,Ward 77,-33.93266,18.40766,Entire home/apt,4800.0,1,15,2017-03-24,0.1,5,211,0,Place to stay,Cape Town,5.0,2.0,4.0,2.0
Alice,Ward 77,-33.93576,18.40402,Private room,1200.0,3,101,2023-11-18,0.67,3,310,9,Cottage,Cape Town,4.86,1.0,1.0,1.0
Carol,Ward 64,-34.12797,18.44605,Entire home/apt,1516.0,3,39,2023-12-22,0.29,2,277,10,Cottage,Cape Town,4.97,2.0,3.0,1.0
Ursula,Ward 77,-33.92922,18.40736,Entire home/apt,1371.0,2,284,2023-12-14,2.17,1,299,21,Guest suite,Cape Town,4.86,1.0,2.0,1.0
Pam,Ward 23,-33.80229,18.46014,Entire home/apt,950.0,7,3,2020-01-10,0.03,1,0,0,Home,Cape Town,3.33,3.0,7.0,2.0
Angela,Ward 57,-33.9363,18.44329,Private room,650.0,5,83,2023-12-01,0.62,3,330,5,Home,Cape Town,4.81,1.0,1.0,1.0
Anne-Lotte,Ward 54,-33.9143,18.39538,Entire home/apt,1718.0,3,112,2023-12-06,0.75,1,153,7,Rental unit,Cape Town,4.75,2.0,2.0,1.0
Antony,Ward 77,-33.93115,18.40512,Private room,1607.0,1,9,2022-01-01,0.07,7,17,0,Home,Cape Town,4.33,1.0,1.0,1.0
Antony,Ward 77,-33.93229,18.40659,Private room,1607.0,1,8,2022-01-03,0.06,7,1,0,Home,Cape Town,4.88,1.0,2.0,1.0
Antony,Ward 77,-33.93129,18.40632,Private room,1286.0,1,21,2023-02-24,0.16,7,1,1,Home,Cape Town,4.25,1.0,1.0,1.0
Antony,Ward 77,-33.93273,18.40462,Private room,1286.0,1,3,2023-02-08,0.03,7,0,2,Home,Cape Town,5.0,1.0,No beds,No bath
Don & Jaco,Ward 115,-33.93153,18.40756,Entire home/apt,1060.0,2,102,2023-12-03,0.69,9,273,14,Rental unit,Cape Town,4.87,1.0,1.0,1.0
Adam,Ward 77,-33.93008,18.40549,Private room,743.0,2,87,2023-04-09,0.66,17,287,5,Home,Cape Town,4.59,1.0,1.0,1.0
Stuart,Ward 115,-33.90974,18.40512,Entire home/apt,2150.0,3,98,2022-03-28,0.67,2,244,0,Loft,Cape Town,4.84,1.0,3.0,1.0
Ashley & Debbie,Ward 74,-34.01501,18.36165,Entire home/apt,3100.0,2,23,2023-04-30,0.18,3,213,1,Guest suite,Cape Town,4.83,2.0,2.0,2.0
Gary,Ward 54,-33.91478,18.39179,Private room,1024.0,1,64,2023-12-28,0.9,6,0,31,Bed and breakfast,Cape Town,4.66,10.0,16.0,32.0
Fatima,Ward 61,-34.18236,18.42457,Entire home/apt,3000.0,5,29,2023-11-15,0.4,1,305,5,Home,Cape Town,4.9,3.0,4.0,2.0
Luz Zoraida,Ward 115,-33.92523,18.42385,Entire home/apt,1443.0,7,36,2023-04-01,0.3,1,2,3,Loft,Cape Town,4.67,1.0,1.0,1.0
Adam,Ward 77,-33.93011,18.40566,Private room,708.0,2,48,2023-12-27,0.39,17,360,4,Home,Cape Town,4.54,1.0,1.0,No bath
Martin,Ward 77,-33.93284,18.40775,Entire home/apt,1331.0,2,145,2019-07-26,1.0,1,50,0,Home,Cape Town,4.64,2.0,3.0,1.0
Maureen,Ward 74,-34.00893,18.34488,Entire home/apt,2058.0,4,10,2023-12-15,0.16,4,333,6,Rental unit,Cape Town,4.3,2.0,1.0,1.0
Antony,Ward 77,-33.93254,18.40657,Entire home/apt,1877.0,2,20,2016-03-13,0.14,7,34,0,Rental unit,Cape Town,4.65,1.0,2.0,1.0
Patrick,Ward 54,-33.92649,18.38291,Entire home/apt,4606.0,3,41,2023-11-30,0.38,2,293,9,Loft,Cape Town,4.85,No bedroom,1.0,1.0
Louie,Ward 58,-33.97567,18.47233,Entire home/apt,1394.0,2,76,2022-03-20,0.61,2,321,0,Rental unit,Cape Town,4.84,1.0,1.0,1.0
Andries,Ward 59,-33.99628,18.46864,Private room,292.0,5,44,2023-12-01,0.33,4,230,4,Rental unit,Cape Town,4.93,1.0,1.0,1.0
Stuart,Ward 115,-33.90974,18.40512,Entire home/apt,2150.0,3,66,2023-02-27,0.45,2,207,1,Rental unit,Cape Town,4.82,2.0,4.0,2.0
Paul,Ward 54,-33.92169952392578,18.383554458618164,Entire home/apt,1700.0,5,31,2023-11-25,0.21,2,309,12,Rental unit,Cape Town,4.93,1.0,1.0,1.0
Katia,Ward 115,-33.92222,18.41999,Entire home/apt,1360.0,3,34,2023-10-31,0.29,2,254,2,Rental unit,Cape Town,4.71,1.0,1.0,1.0
Fiona,Ward 77,-33.93456,18.40321,Entire home/apt,2533.0,2,23,2023-12-19,0.19,1,87,3,Home,Cape Town,4.87,3.0,4.0,3.0
Ian,Ward 115,-33.91144,18.4116,Entire home/apt,610.0,3,132,2023-12-20,1.0,4,247,37,Rental unit,Cape Town,4.79,1.0,1.0,1.0
Hanne,Ward 71,-34.07088,18.45068,Entire home/apt,920.0,3,20,2023-12-06,0.15,1,335,5,Rental unit,Cape Town,4.89,1.0,2.0,1.0
Peter,Ward 55,-33.87818,18.49576,Entire home/apt,1229.0,4,25,2023-12-20,0.23,1,313,5,Cottage,Cape Town,4.88,2.0,2.0,1.0
Sandra,Ward 115,-33.93277,18.41939,Private room,700.0,3,6,2022-11-18,0.06,2,356,0,Home,Cape Town,5.0,1.0,1.0,1.0
Diane,Ward 61,-34.20875,18.4594,Entire home/apt,1600.0,2,70,2023-04-14,0.49,1,268,3,Rental unit,Cape Town,4.94,1.0,3.0,1.0
June,Ward 58,-33.96183,18.48047,Private room,650.0,2,12,2023-12-06,0.26,2,293,6,Rental unit,Cape Town,5.0,1.0,1.0,1.0
Liliane,Ward 115,-33.92528,18.42022,Entire home/apt,3000.0,4,215,2023-12-17,1.54,1,66,16,Rental unit,Cape Town,4.75,2.0,4.0,2.0
Clyde,Ward 115,-33.91273,18.41685,Entire home/apt,1107.0,5,78,2023-11-28,0.61,2,335,10,Rental unit,Cape Town,4.85,1.0,1.0,1.0
Doreen,Ward 115,-33.931976,18.407118,Entire home/apt,4300.0,1,20,2020-02-07,0.16,5,240,0,Loft,Cape Town,4.68,1.0,1.0,1.0
Shannon,Ward 54,-33.96455,18.38113,Entire home/apt,2043.0,2,106,2023-11-17,0.88,3,160,1,Guest suite,Cape Town,4.81,1.0,1.0,1.0
Antje,Ward 64,-34.10183,18.47495,Entire home/apt,2000.0,14,4,2020-12-30,0.04,1,7,0,Home,Cape Town,4.25,2.0,4.0,2.0
Andrew,Ward 73,-34.0225,18.45536,Entire home/apt,9247.0,14,0,,,1,0,0,Home,Cape Town,,4.0,4.0,3.0
Kerri And Kelly From Blue Views,Ward 54,-33.96152,18.37411,Entire home/apt,20714.0,4,10,2020-12-09,0.08,8,209,0,Serviced apartment,Cape Town,4.6,2.0,2.0,2.0
Kerri And Kelly From Blue Views,Ward 54,-33.95931,18.3766,Entire home/apt,27929.0,3,12,2020-12-15,0.17,8,215,0,Serviced apartment,Cape Town,4.83,5.0,5.0,5.0
Kerri And Kelly From Blue Views,Ward 54,-33.96041,18.37494,Entire home/apt,37500.0,3,13,2023-10-20,0.16,8,221,1,Serviced apartment,Cape Town,4.85,7.0,7.0,7.0
Kerri And Kelly From Blue Views,Ward 54,-33.96065,18.37492,Entire home/apt,27000.0,1,4,2019-03-03,0.06,8,228,0,Serviced apartment,Cape Town,5.0,4.0,4.0,4.0
Kerri And Kelly From Blue Views,Ward 54,-33.96035,18.37424,Entire home/apt,9000.0,3,7,2019-11-19,0.09,8,0,0,Home,Cape Town,4.71,7.0,7.0,7.0
Claudia,Ward 57,-33.939449310302734,18.467430114746094,Entire home/apt,1400.0,7,22,2023-06-10,0.15,1,67,2,Home,Cape Town,4.91,2.0,2.0,1.0
Jono,Ward 54,-33.95367,18.38623,Entire home/apt,1994.0,4,246,2023-12-15,1.87,1,106,18,Rental unit,Cape Town,4.98,No bedroom,1.0,1.0
Rita,Ward 54,-33.91351,18.39218,Private room,495.0,4,62,2023-10-31,0.43,7,0,4,Rental unit,Cape Town,5.0,1.0,1.0,1.0
Beth,Ward 57,-33.95185,18.48103,Entire home/apt,950.0,3,62,2023-12-15,0.51,1,320,13,Home,Cape Town,4.92,1.0,1.0,1.0
Hiske,Ward 115,-33.924,18.42221,Entire home/apt,3600.0,5,7,2018-01-02,0.05,1,261,0,Rental unit,Cape Town,4.57,2.0,4.0,2.0
Laura,Ward 113,-33.82998,18.50052,Entire home/apt,2385.0,14,3,2016-11-24,0.03,1,357,0,Villa,Cape Town,5.0,3.0,3.0,2.0
Shirley,Ward 54,-33.95426,18.37938,Entire home/apt,13000.0,2,49,2023-12-26,0.37,3,259,10,Villa,Cape Town,4.98,5.0,6.0,5.0
Heather,Ward 61,-34.137981,18.328871,Entire home/apt,3969.0,2,2,2015-04-27,0.02,3,353,0,Home,Cape Town,,4.0,4.0,4.0
Naomi,Ward 74,-34.03418,18.36039,Entire home/apt,471.0,30,0,,,1,0,0,Rental unit,Cape Town,,1.0,1.0,2.0
Julia,Ward 77,-33.93907,18.41643,Entire home/apt,1171.0,3,3,2014-12-28,0.02,1,293,0,Rental unit,Cape Town,5.0,2.0,4.0,1.0
Jacqueline,Ward 64,-34.08934,18.464,Entire home/apt,2129.0,6,4,2020-12-28,0.05,2,248,0,Home,Cape Town,4.75,3.0,4.0,1.0
Natalie,Ward 61,-34.19545,18.44126,Entire home/apt,2285.0,14,16,2023-10-10,0.18,9,334,1,Home,Cape Town,4.31,3.0,5.0,2.0
Diana,Ward 71,-34.06806,18.41225,Entire home/apt,4214.0,3,12,2023-12-19,0.2,1,284,9,Cottage,Cape Town,5.0,3.0,3.0,1.0
Elize,Ward 54,-33.96331,18.37749,Entire home/apt,1892.0,4,6,2020-02-17,0.05,19,269,0,Rental unit,Cape Town,5.0,1.0,1.0,1.0
Gregory,Ward 61,-34.19988,18.37755,Entire home/apt,1112.0,2,65,2023-10-08,0.59,2,304,1,Cottage,Cape Town,4.65,1.0,2.0,1.0
Nicky,Ward 74,-34.01224,18.35791,Entire home/apt,6500.0,12,8,2023-01-07,0.07,1,341,1,Home,Cape Town,4.88,4.0,5.0,3.0
Cape Eazi Stayz,Ward 115,-33.92369,18.42291,Entire home/apt,1920.0,2,3,2017-05-07,0.03,25,206,0,Rental unit,Cape Town,3.67,1.0,2.0,1.0
Katrin,Ward 115,-33.92786,18.41642,Entire home/apt,2500.0,1,175,2023-12-19,1.25,4,257,11,Rental unit,Cape Town,4.86,1.0,2.0,1.0
Cape Eazi Stayz,Ward 115,-33.92286,18.42279,Entire home/apt,1600.0,1,15,2023-04-30,0.19,25,209,4,Loft,Cape Town,4.07,1.0,1.0,1.0
Andries,Ward 59,-33.99646,18.46759,Private room,380.0,5,21,2023-04-17,0.17,4,337,4,Home,Cape Town,4.95,1.0,1.0,1.0
Cindy,Ward 58,-33.96919,18.4882,Entire home/apt,8000.0,10,3,2023-02-18,0.04,1,337,1,Home,Cape Town,5.0,5.0,5.0,5.0
Sandra,Ward 73,-34.04493,18.46011,Entire home/apt,2400.0,2,0,,,1,0,0,Home,Cape Town,,4.0,5.0,3.0
Cape Eazi Stayz,Ward 115,-33.92289,18.42173,Entire home/apt,1920.0,2,3,2015-04-07,0.03,25,239,0,Rental unit,Cape Town,3.67,1.0,1.0,1.0
Cape Eazi Stayz,Ward 115,-33.92528,18.42274,Entire home/apt,2880.0,1,10,2021-11-17,0.09,25,159,0,Rental unit,Cape Town,4.5,1.0,3.0,2.0
Cape Standard,Ward 115,-33.90968,18.41102,Entire home/apt,2051.0,3,38,2023-12-11,0.27,2,324,5,Rental unit,Cape Town,4.57,1.0,1.0,1.0
James,Ward 54,-33.95875,18.38149,Entire home/apt,24800.0,2,44,2020-03-23,0.37,1,0,0,Home,Cape Town,4.61,6.0,8.0,5.0
Cape Eazi Stayz,Ward 115,-33.92285,18.4235,Entire home/apt,1520.0,1,8,2023-03-21,0.07,25,230,3,Rental unit,Cape Town,4.13,1.0,1.0,1.0
Paul,Ward 54,-33.92016,18.38566,Entire home/apt,1497.0,4,25,2023-05-28,0.19,1,209,6,Rental unit,Cape Town,4.92,2.0,2.0,1.0
Cape Eazi Stayz,Ward 115,-33.92362,18.42192,Entire home/apt,1920.0,1,2,2021-12-09,0.02,25,226,0,Rental unit,Cape Town,,1.0,1.0,1.0
Cape Eazi Stayz,Ward 115,-33.91705,18.42472,Entire home/apt,1400.0,1,6,2023-02-26,0.06,25,223,1,Rental unit,Cape Town,4.67,1.0,1.0,1.0
Cape Eazi Stayz,Ward 115,-33.91918,18.4245,Entire home/apt,1300.0,1,6,2023-02-23,0.06,25,219,2,Rental unit,Cape Town,4.5,1.0,1.0,1.0
Odette,Ward 115,-33.90792,18.40452,Entire home/apt,1424.0,30,1,2022-10-15,0.07,1,252,0,Home,Cape Town,,2.0,3.0,2.0
Cape Eazi Stayz,Ward 115,-33.91847,18.42314,Hotel room,3200.0,1,25,2023-05-27,0.2,25,1,5,Serviced apartment,Cape Town,4.36,2.0,2.0,2.0
Cape Eazi Stayz,Ward 115,-33.91519,18.4183,Hotel room,3200.0,2,14,2022-07-31,0.12,25,156,0,Serviced apartment,Cape Town,4.21,2.0,3.0,2.0
Cape Eazi Stayz,Ward 115,-33.90026,18.4045,Entire home/apt,2800.0,1,25,2023-08-20,0.22,25,165,11,Rental unit,Cape Town,4.48,2.0,3.0,1.0
Cape Eazi Stayz,Ward 115,-33.92655,18.41475,Entire home/apt,1220.0,1,8,2019-03-05,0.08,25,238,0,Rental unit,Cape Town,4.63,1.0,1.0,1.0
Tim & Diana,Ward 77,-33.9369,18.43148,Entire home/apt,1024.0,8,57,2023-01-01,0.44,1,301,1,Condo,Cape Town,4.82,1.0,1.0,1.0
Michaeljon,Ward 54,-33.9514,18.38436,Entire home/apt,4499.0,2,255,2023-11-27,2.61,1,0,40,Guesthouse,Cape Town,4.95,2.0,2.0,2.0
Donovan,Ward 115,-33.91501,18.41935,Entire home/apt,3678.0,2,84,2023-02-09,0.62,2,204,1,Rental unit,Cape Town,4.66,2.0,2.0,2.0
Jenny,Ward 115,-33.91559,18.41824,Entire home/apt,1300.0,5,41,2022-08-01,0.32,3,178,0,Rental unit,Cape Town,4.83,1.0,1.0,1.0
David,Ward 105,-33.81008,18.62134,Private room,5950.0,4,3,2016-01-03,0.02,3,0,0,Villa,Cape Town,4.67,4.0,9.0,4.0
Renate,Ward 4,-33.86739,18.50606,Private room,344.0,5,114,2023-11-30,1.04,1,314,7,Condo,Cape Town,4.78,1.0,1.0,1.0
Lucinda,Ward 61,-34.13822,18.33371,Entire home/apt,1077.0,2,58,2023-12-04,0.95,2,295,10,Rental unit,Cape Town,4.93,1.0,1.0,1.0
Anja & Thomas,Ward 69,-34.12146,18.39356,Private room,1260.0,2,3,2019-12-26,0.02,2,272,0,Guesthouse,Cape Town,5.0,No bedroom,2.0,1.0
Martin,Ward 62,-34.00644,18.42661,Entire home/apt,8362.0,4,107,2023-12-12,0.87,2,241,18,Villa,Cape Town,4.94,3.0,3.0,3.0
John,Ward 23,-33.81839,18.47531,Entire home/apt,3125.0,2,1,2022-03-07,0.05,2,84,0,Rental unit,Cape Town,,2.0,3.0,1.0
Swen,Ward 100,-34.16382,18.86643,Entire home/apt,2354.0,7,16,2020-01-03,0.13,1,0,0,Rental unit,Cape Town,4.38,2.0,2.0,1.0
Karis,Ward 115,-33.9099,18.40314,Entire home/apt,1100.0,2,55,2023-12-19,0.66,2,309,22,Home,Cape Town,5.0,1.0,1.0,1.0
Frankie,Ward 61,-34.1297,18.33886,Entire home/apt,9570.0,5,1,2023-03-25,0.11,47,302,1,Home,Cape Town,,3.0,3.0,3.0
Rik,Ward 113,-33.82977,18.49745,Private room,922.0,4,4,2015-01-11,0.03,1,344,0,Villa,Cape Town,3.75,1.0,1.0,6.0
Astrid,Ward 57,-33.93323,18.45348,Entire home/apt,1036.0,3,93,2023-03-31,0.74,1,1,5,Rental unit,Cape Town,4.77,1.0,2.0,1.0
P.,Ward 115,-33.92132,18.4181,Entire home/apt,1366.0,2,134,2023-04-07,1.01,1,0,4,Loft,Cape Town,4.59,2.0,3.0,2.0
Brad,Ward 115,-33.92179,18.42015,Entire home/apt,3786.0,2,32,2023-04-28,0.32,3,273,6,Condo,Cape Town,4.69,2.0,2.0,1.0
Nicole,Ward 115,-33.91248,18.42548,Entire home/apt,4690.0,2,9,2023-02-21,0.07,4,329,1,Serviced apartment,Cape Town,4.0,1.0,4.0,1.0
Chantal,Ward 115,-33.89995,18.40758,Entire home/apt,2786.0,10,32,2022-12-10,0.27,6,131,0,Rental unit,Cape Town,4.91,1.0,1.0,1.0
Florian,Ward 64,-34.12555,18.44886,Private room,1450.0,1,98,2023-12-12,0.74,20,299,13,Guesthouse,Cape Town,4.83,1.0,2.0,1.0
Isa,Ward 54,-33.92078,18.38758,Entire home/apt,1479.0,3,37,2023-12-21,0.31,1,202,10,Rental unit,Cape Town,5.0,2.0,2.0,1.0
Justino,Ward 21,-33.88196,18.63907,Entire home/apt,2800.0,1,0,,,1,0,0,Home,Cape Town,,2.0,3.0,1.0
Mareli,Ward 77,-33.9399,18.42583,Private room,300.0,4,0,,,1,344,0,Rental unit,Cape Town,,2.0,2.0,2.0
Jenny,Ward 115,-33.91553,18.41893,Entire home/apt,1300.0,5,46,2022-12-05,0.34,3,187,0,Rental unit,Cape Town,4.78,1.0,1.0,1.0
Peter,Ward 54,-33.92005,18.39094,Entire home/apt,2080.0,7,10,2023-01-03,0.08,1,306,1,Rental unit,Cape Town,4.6,2.0,2.0,1.0
James,Ward 57,-33.94113,18.46902,Private room,520.0,7,38,2023-10-04,0.33,1,261,2,Home,Cape Town,4.89,No bedroom,1.0,1.0
Claire,Ward 115,-33.91789,18.41844,Entire home/apt,3321.0,2,256,2023-12-15,2.05,1,316,24,Loft,Cape Town,4.92,1.0,1.0,1.0
Turnkey365,Ward 54,-33.9593,18.37921,Entire home/apt,23417.0,4,30,2023-12-17,0.25,53,209,12,Villa,Cape Town,4.8,6.0,9.0,6.0
Turnkey365,Ward 54,-33.95477,18.38423,Entire home/apt,22329.0,4,24,2023-08-30,0.23,53,287,7,Villa,Cape Town,4.83,5.0,8.0,5.0
Gordon,Ward 115,-33.91129,18.41452,Private room,1085.0,2,15,2023-03-27,0.13,2,361,2,Hotel,Cape Town,4.4,1.0,1.0,1.0
Fabrizio,Ward 4,-33.85342,18.49401,Entire home/apt,5118.0,1,56,2023-11-17,0.77,11,296,14,Serviced apartment,Cape Town,4.79,3.0,6.0,3.0
Navine,Ward 63,-34.00768,18.51565,Shared room,600.0,5,0,,,3,329,0,Rental unit,Cape Town,,1.0,2.0,1.0
Fabrizio,Ward 4,-33.85363,18.49401,Entire home/apt,2252.0,1,9,2022-01-06,0.11,11,332,0,Serviced apartment,Cape Town,4.33,2.0,5.0,2.0
Fabrizio,Ward 4,-33.85363,18.49401,Entire home/apt,1066.0,1,12,2023-08-28,0.22,11,300,4,Serviced apartment,Cape Town,4.67,1.0,1.0,1.0
Diana,Ward 74,-34.04356,18.36675,Entire home/apt,3200.0,2,38,2023-12-10,0.31,2,236,4,Rental unit,Cape Town,4.82,2.0,2.0,2.0
Christophe,Ward 54,-33.92384,18.38679,Entire home/apt,1847.0,2,10,2023-11-24,0.1,2,135,1,Guest suite,Cape Town,3.5,1.0,2.0,1.0
Brenda,Ward 74,-34.00744,18.34365,Entire home/apt,6500.0,2,39,2023-12-23,0.32,1,290,6,Rental unit,Cape Town,4.97,2.0,3.0,1.0
Catherine,Ward 69,-34.13731,18.38464,Entire home/apt,750.0,2,27,2023-04-02,0.24,1,14,2,Rental unit,Cape Town,4.89,1.0,1.0,1.0
