host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,property_type,city,rating,no._of_bedrooms,no._of_beds,no._of_baths
Heidi,Ward 59,-33.97882,18.45469,Entire home/apt,1000.0,2,19,2023-11-17,0.22,1,278,4,Home,Cape Town,4.89,1.0,1.0,1.0
Charl,Ward 54,-33.91884,18.38577,Entire home/apt,777.0,2,181,2023-12-22,2.08,2,279,25,Rental unit,Cape Town,4.7,No bedroom,1.0,1.0
Dawn,Ward 113,-33.82649,18.49721,Private room,1096.0,5,0,,,1,363,0,Home,Cape Town,,1.0,1.0,1.0
Steve,Ward 53,-33.93988,18.49599,Entire home/apt,3000.0,7,16,2023-03-31,0.22,1,213,3,Home,Cape Town,4.94,4.0,6.0,3.0
Michele,Ward 62,-34.03718,18.42267,Entire home/apt,850.0,2,24,2023-04-23,0.28,1,248,3,Guest suite,Cape Town,4.88,1.0,1.0,1.0
Nicholas,Ward 54,-33.92511,18.38026,Entire home/apt,5000.0,7,3,2019-01-07,0.03,1,276,0,Home,Cape Town,5.0,3.0,5.0,4.0
Trevor,Ward 107,-33.82325,18.47759,Entire home/apt,900.0,2,69,2023-10-21,0.8,1,11,17,Condo,Cape Town,4.87,1.0,1.0,1.0
Louise,Ward 23,-33.79237,18.46199,Entire home/apt,1564.0,2,28,2023-01-15,0.32,1,18,3,Rental unit,Cape Town,4.5,3.0,4.0,2.0
Lodewyk,Ward 23,-33.72805,18.4419,Entire home/apt,4000.0,7,1,2017-01-05,0.01,1,0,0,Home,Cape Town,,4.0,4.0,4.0
Fran,Ward 115,-33.91097,18.40492,Entire home/apt,12576.0,7,0,,,1,358,0,Home,Cape Town,,4.0,4.0,3.0
Mark,Ward 77,-33.93425,18.40192,Entire home/apt,1200.0,2,22,2023-12-09,0.25,1,25,4,Rental unit,Cape Town,4.82,1.0,1.0,2.0
Dean,Ward 55,-33.87475,18.49412,Private room,589.0,1,12,2023-09-14,0.14,10,347,2,Home,Cape Town,4.83,1.0,2.0,1.0
Nicki,Ward 58,-33.96261,18.48545,Entire home/apt,1760.0,2,9,2023-03-31,0.12,2,313,3,Guesthouse,Cape Town,5.0,1.0,1.0,1.0
Mechtild,Ward 77,-33.93898,18.4186,Entire home/apt,620.0,3,22,2023-04-22,0.26,1,253,3,Rental unit,Cape Town,4.68,1.0,1.0,1.0
Kenau,Ward 54,-33.95879,18.3797,Entire home/apt,3000.0,3,70,2020-02-27,0.81,2,0,0,Home,Cape Town,5.0,3.0,3.0,2.0
Colleen,Ward 23,-33.78717,18.45618,Entire home/apt,2000.0,3,19,2023-03-05,0.22,1,288,4,Condo,Cape Town,4.95,2.0,4.0,2.0
Pieter,Ward 23,-33.72272,18.44511,Private room,850.0,1,2,2023-01-03,0.03,2,323,1,Guesthouse,Cape Town,,1.0,1.0,1.0
Elmarie,Ward 107,-33.82482,18.47962,Entire home/apt,700.0,3,40,2023-03-31,0.46,6,315,2,Rental unit,Cape Town,4.8,1.0,1.0,1.0
Nicki,Ward 59,-33.98364,18.4546,Entire home/apt,875.0,4,16,2023-11-19,0.21,2,146,10,Guesthouse,Cape Town,4.94,1.0,1.0,1.0
Pieter,Ward 23,-33.72248,18.44506,Private room,826.0,1,12,2023-06-29,0.17,2,353,4,Guesthouse,Cape Town,4.33,1.0,1.0,1.0
Taryn,Ward 54,-33.92422,18.38838,Entire home/apt,5500.0,1,0,,,1,0,0,Home,Cape Town,,4.0,4.0,2.0
Cape Eazi Stayz,Ward 73,-34.04173,18.45125,Entire home/apt,1800.0,1,17,2023-04-29,0.19,25,234,1,Loft,Cape Town,4.65,2.0,3.0,1.0
Gary And Sarah,Ward 84,-34.12064,18.89363,Private room,687.0,1,90,2023-12-15,1.09,1,36,18,Farm stay,Cape Town,4.63,1.0,1.0,1.0
Cecile,Ward 57,-33.93851,18.47355,Entire home/apt,1300.0,5,6,2017-12-31,0.07,1,0,0,Home,Cape Town,5.0,3.0,3.0,2.0
Beachfront Lifestyle,Ward 54,-33.91831,18.3867,Entire home/apt,4286.0,2,169,2023-11-23,1.98,1,0,21,Condo,Cape Town,4.64,2.0,3.0,2.0
Jo,Ward 59,-33.97465,18.4592,Entire home/apt,1400.0,4,92,2023-12-21,1.29,3,292,15,Guest suite,Cape Town,4.93,1.0,1.0,1.0
Ester & Mark,Ward 74,-34.03299,18.35717,Entire home/apt,4000.0,14,5,2023-01-11,0.06,1,116,1,Home,Cape Town,5.0,3.0,4.0,2.0
Warren,Ward 71,-34.08245,18.43744,Entire home/apt,7500.0,14,1,2017-01-07,0.01,1,358,0,Home,Cape Town,,4.0,4.0,3.0
Roseanne,Ward 62,-34.01339,18.43525,Private room,341.0,2,53,2023-12-22,0.61,1,40,16,Home,Cape Town,4.94,1.0,1.0,1.0
Charmaine,Ward 115,-33.92447,18.42356,Entire home/apt,1300.0,3,147,2023-10-17,1.72,23,75,17,Rental unit,Cape Town,4.65,2.0,2.0,1.0
Crossfire At,Ward 109,-34.09233,18.81449,Entire home/apt,2500.0,1,8,2023-11-20,0.09,17,334,2,Rental unit,Cape Town,4.25,2.0,2.0,2.0
Zaitoon,Ward 63,-34.01432,18.47657,Entire home/apt,500.0,2,13,2023-03-10,0.27,1,351,2,Place to stay,Cape Town,4.77,1.0,4.0,1.0
Alan,Ward 23,-33.79155,18.45934,Entire home/apt,1758.0,5,40,2023-12-20,0.47,1,116,9,Rental unit,Cape Town,4.7,3.0,4.0,2.0
Shannon,Ward 59,-33.9904,18.47096,Entire home/apt,4000.0,10,0,,,1,79,0,Home,Cape Town,,3.0,6.0,3.0
Debbie,Ward 58,-33.96797,18.48117,Entire home/apt,850.0,2,19,2023-12-01,0.22,1,105,7,Guesthouse,Cape Town,4.95,1.0,1.0,1.0
Reyadh,Ward 60,-33.98815,18.50857,Private room,325.0,1,16,2023-12-08,0.18,1,150,1,Home,Cape Town,4.5,4.0,4.0,2.0
