id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32117536,Home in Cape Town · ★4.59 · 3 bedrooms · 6 beds · 2 baths,161882932,Stephanie,,Ward 58,-33.98443,18.46948,Entire home/apt,1320,3,157,2023-12-07,2.72,1,221,23,
32118117,Rental unit in Cape Town · ★4.83 · 1 bedroom · 1 bed · 1 bath,8108425,Albertus,,Ward 115,-33.92326,18.41613,Entire home/apt,1848,2,110,2023-10-11,1.86,54,300,10,
32346299,Guest suite in Cape Town · ★4.93 · 1 bedroom · 1 bed · 1 bath,167741524,Christelle,,Ward 15,-34.06145,18.8405,Entire home/apt,601,1,45,2023-12-10,0.78,1,63,12,
32125437,Guest suite in Cape Town · ★4.95 · 1 bedroom · 1 bed · 1 bath,239249191,Rowan,,Ward 61,-34.13884,18.32561,Entire home/apt,1019,2,40,2023-11-08,0.67,1,314,7,
32346393,Home in Cape Town · 1 bedroom · 1 bed · 1 private bath,231910134,Niels,,Ward 77,-33.91847,18.41697,Private room,695,100,0,,,2,0,0,
32370357,Hotel in Cape Town · 10 bedrooms · 50 beds · 1 bath,243063063,Bantry Bay Suite Hotel,,Ward 54,-33.92415,18.38056,Private room,3480,1,2,2021-12-19,0.07,4,0,0,
32125467,Rental unit in Cape Town · ★5.0 · 2 bedrooms · 12 beds · 1.5 baths,241023356,Miempie,,Ward 83,-34.1074,18.82179,Entire home/apt,2000,5,5,2023-10-27,0.10,1,172,1,
32370811,Home in Cape Town · 5 bedrooms · 5 beds · 6 baths,2711126,Castle Hill,,Ward 64,-34.12405,18.45036,Entire home/apt,12000,3,0,,,1,0,0,
32373503,Rental unit in Cape Town · ★4.93 · 1 bedroom · 1 bed · 1 bath,122830772,Ona,,Ward 100,-34.16012,18.87627,Entire home/apt,1600,2,15,2023-12-06,0.30,3,237,4,
32151413,Home in Cape Town · ★4.93 · 3 bedrooms · 3 beds · 3 baths,11683243,Ian,,Ward 74,-34.0333,18.36129,Entire home/apt,4500,3,55,2023-12-04,0.97,1,264,15,
32152846,Rental unit in Cape Town · ★4.68 · 1 bedroom · 1 bed · 1 bath,235224136,Brian,,Ward 107,-33.80941,18.49001,Entire home/apt,500,7,82,2023-12-21,1.41,1,305,10,
32374014,Loft in Cape Town · ★4.89 · Studio · 2 beds · 1.5 baths,33274660,Jody,,Ward 71,-34.06741,18.41762,Entire home/apt,1800,1,19,2023-12-06,0.38,1,320,2,
32378489,Cottage in Tokai Cape Town · ★5.0 · 2 bedrooms · 4 beds · 2 baths,243121209,Rachael,,Ward 71,-34.06723,18.41784,Entire home/apt,2950,3,8,2023-02-07,0.14,1,232,1,
32153083,Rental unit in Cape Town · ★4.80 · 2 bedrooms · 3 beds · 1.5 baths,241199933,Glynn,,Ward 21,-33.87606,18.65463,Entire home/apt,679,1,30,2023-12-17,0.53,1,311,10,
32378943,Rental unit in Cape Town · ★4.95 · 2 bedrooms · 3 beds · 1.5 baths,243126943,Inga,,Ward 77,-33.94368,18.42282,Entire home/apt,2459,2,20,2023-10-16,0.34,1,309,6,
32382121,Rental unit in Cape Town · ★4.79 · Studio · 1 bed · 1 bath,135270111,Anlize,,Ward 115,-33.9281,18.42183,Entire home/apt,1357,1,47,2023-08-31,0.80,2,324,2,
32153177,Rental unit in Cape Town · ★4.87 · 1 bedroom · 1 bed · 1 bath,18850853,Claudio,,Ward 115,-33.911678314208984,18.405649185180664,Entire home/apt,2490,2,100,2023-12-18,1.69,3,0,21,
32153929,Rental unit in Cape Town · ★4.40 · 1 bedroom · 2 beds · 2 baths,210339616,Chris,,Ward 74,-34.00788,18.34207,Entire home/apt,2450,4,10,2022-11-14,0.17,3,155,0,
32155137,Rental unit in Cape Town · ★5.0 · 2 bedrooms · 2 beds · 2 baths,30284494,Kate,,Ward 61,-34.1935400032215,18.42901725322008,Entire home/apt,1250,3,10,2023-12-03,1.26,1,35,10,
32390753,Rental unit in Cape Town · ★4.52 · 1 bedroom · 1 bed · 1 bath,243233754,Dawid,,Ward 115,-33.93018,18.40845,Entire home/apt,980,2,21,2023-12-12,0.36,1,60,8,
32394145,Home in Cape Town · ★4.42 · 4 bedrooms · 4 beds · 2 baths,243254575,James,,Ward 57,-33.92952,18.46141,Entire home/apt,2098,2,31,2023-12-22,0.54,1,345,4,
32157780,Rental unit in Cape Town · ★4.80 · 1 bedroom · 1 bed · 1 bath,20602565,Lance,,Ward 115,-33.90828,18.40628,Entire home/apt,1314,2,105,2023-11-28,1.76,51,62,24,
32165090,Townhouse in Cape Town · ★4.90 · 2 bedrooms · 2 beds · 2.5 baths,10214696,Susan,,Ward 77,-33.93517,18.42127,Entire home/apt,1700,2,81,2023-12-17,1.40,1,123,21,
32397112,Rental unit in Cape Town · ★4.67 · 1 bedroom · 3 beds · 1 bath,80071570,Thomas,,Ward 77,-33.93558,18.41825,Entire home/apt,1843,2,137,2023-12-15,2.41,2,0,38,
32397557,Rental unit in Cape Town · ★4.40 · 1 bedroom · 1 bed · 1 bath,50904051,Avril,,Ward 115,-33.92915,18.42242,Entire home/apt,1057,1,81,2023-12-26,1.38,5,113,22,
32171325,Rental unit in Cape Town · ★4.86 · 2 bedrooms · 2 beds · 2 baths,4310681,Nandi & Elmarie Experience Creators,,Ward 61,-34.19523,18.42687,Entire home/apt,3285,4,51,2023-12-08,0.88,28,102,6,
32174720,Rental unit in Cape Town · ★4.82 · 2 bedrooms · 3 beds · 2 baths,237367557,Stay,,Ward 115,-33.90933,18.41263,Entire home/apt,10857,1,51,2023-11-14,0.86,33,346,11,
32180561,Condo in Cape Town · ★4.57 · 1 bedroom · 1 bed · 1 bath,51573487,Xenia,,Ward 115,-33.92658,18.41475,Entire home/apt,1100,2,7,2023-02-09,0.12,1,44,3,
32400460,Rental unit in Cape Town · ★4.95 · 1 bedroom · 2 beds · 1 bath,243304802,Ivan,,Ward 115,-33.92341,18.42255,Entire home/apt,813,2,42,2020-04-04,0.72,1,1,0,
32402639,Rental unit in Cape Town · ★4.88 · 1 bedroom · 1 bed · 1 bath,2397423,René,,Ward 4,-33.85724,18.49,Entire home/apt,2446,1,31,2023-12-25,0.63,6,0,21,
32182020,Rental unit in Cape Town · ★5.0 · 1 bedroom · 2 beds · 1 bath,17905009,Sarah Jane,,Ward 74,-34.02509,18.35653,Entire home/apt,1350,2,12,2021-01-02,0.20,1,24,0,
32403463,Guesthouse in Cape Town · 1 bedroom · 1 bed · 1 bath,243331660,Yazid,,Ward 60,-33.97033,18.49774,Entire home/apt,1300,2,2,2019-03-09,0.03,1,0,0,
32417261,Rental unit in Cape Town · 2 bedrooms · 2 beds · 2 baths,122830772,Ona,,Ward 100,-34.16032,18.87704,Entire home/apt,1650,2,1,2019-10-25,0.02,3,229,0,
32182897,Home in Cape Town · ★4.22 · 1 bedroom · 1 bed · 1 bath,33110394,Tammy,,Ward 23,-33.8057,18.46706,Entire home/apt,807,2,9,2020-11-01,0.15,7,340,0,
32424346,Rental unit in Cape Town · 2 bedrooms · 1 bed · 2 baths,202414804,Andrzej,,Ward 115,-33.91899,18.41966,Entire home/apt,1990,7,1,2022-12-29,0.08,7,84,1,
32187292,Rental unit in Cape Town · ★4.81 · 1 bedroom · 1 bed · 1 bath,135270111,Anlize,,Ward 115,-33.92805,18.42238,Entire home/apt,921,1,27,2023-04-13,0.46,2,330,3,
32437927,Home in Cape Town · ★4.85 · 4 bedrooms · 5 beds · 2 baths,112212968,Rich,,Ward 61,-34.12971,18.3388,Entire home/apt,1606,3,20,2020-12-31,0.35,1,147,0,
32451720,Rental unit in Cape Town · 1 bedroom · 1 bed · 1 bath,2346675,Ayesha,,Ward 57,-33.93604,18.446,Entire home/apt,2300,3,0,,,9,296,0,
32452015,Home in Cape Town · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,241823163,Tim,,Ward 57,-33.93882,18.47307,Private room,471,3,21,2023-11-30,0.40,4,54,14,
32197759,Rental unit in Cape Town · ★4.67 · 2 bedrooms · 2 beds · 1 bath,166936404,Karina,,Ward 23,-33.78378,18.45386,Entire home/apt,1270,3,6,2023-12-16,0.12,6,158,4,
32202033,Rental unit in Cape Town · ★5.0 · 1 bedroom · 1 bed · 1 bath,4310681,Nandi & Elmarie Experience Creators,,Ward 61,-34.19649,18.42903,Entire home/apt,2999,4,43,2023-11-24,0.74,28,84,8,
32454442,Rental unit in Cape Town · 1 bedroom · 1 bed · 1.5 baths,243816340,Kim,,Ward 27,-33.91468,18.54507,Entire home/apt,,1,0,,,1,0,0,
32206728,Rental unit in Cape Town · ★4.89 · 1 bedroom · 2 beds · 1 bath,69213910,Sue,,Ward 115,-33.91333,18.41631,Entire home/apt,3144,1,9,2023-12-16,0.36,3,361,1,
32455222,Home in Cape Town · ★4.89 · 3 bedrooms · 5 beds · 2 baths,184973558,Ailsa,,Ward 4,-33.85889,18.4907,Entire home/apt,3200,6,19,2023-10-31,0.39,4,32,6,
32455448,Home in Cape Town · ★5.0 · 2 bedrooms · 4 beds · 2 baths,185025818,Adrian,,Ward 115,-33.911987784925714,18.40163306978193,Entire home/apt,13566,5,6,2023-02-16,0.12,2,251,2,
32210234,Home in Strand · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,117276366,Anna,,Ward 85,-34.12154,18.83416,Entire home/apt,2000,7,3,2023-12-17,0.06,1,364,1,
32459479,Home in Cape Town · ★4.0 · Studio · 2 beds · Shared half-bath,14322071,Stefan,,Ward 55,-33.88487,18.48565,Private room,1000,2,4,2022-09-29,0.07,4,364,0,
32247423,Loft in Cape Town · ★4.93 · 1 bedroom · 1 bed · 1 bath,91792117,Desiree,,Ward 61,-34.15429,18.42829,Entire home/apt,610,2,107,2023-12-20,1.81,2,308,14,
32459663,Rental unit in Cape Town · ★4.92 · 2 bedrooms · 4 beds · 2 baths,243850608,Louise,,Ward 23,-33.71131,18.44614,Entire home/apt,850,3,12,2022-10-11,0.21,1,313,0,
32462704,Home in Cape Town · ★4.89 · 2 bedrooms · 2 beds · 2 baths,69772643,Barbara,,Ward 61,-34.19483,18.42967,Private room,1438,2,9,2023-02-23,0.15,2,98,1,
32467968,Guest suite in Cape Town · Studio · 1 bed · 1 bath,82652504,Babett,,Ward 77,-33.93444,18.43175,Entire home/apt,610,1,2,2021-05-31,0.06,7,0,0,
32247431,Home in Cape Town · ★5.0 · 4 bedrooms · 5 beds · 4 baths,60019210,Tracey,,Ward 62,-34.02301,18.44775,Entire home/apt,4950,7,5,2023-01-02,0.10,1,209,1,
32247771,Bungalow in Cape Town · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,55747594,Hayley,,Ward 58,-33.98687,18.47531,Private room,,2,4,2019-04-20,0.07,1,0,0,
32469146,Villa in Cape Town · 3 bedrooms · 3 beds · 4 baths,68179724,Keturah,,Ward 54,-33.9424,18.37463,Entire home/apt,35000,1,1,2022-10-09,0.07,1,350,0,
32249915,Guest suite in Cape Town · ★4.57 · 1 bedroom · 1 bed · 1 bath,242042186,Lina,,Ward 21,-33.84442,18.65661,Private room,500,2,7,2020-12-27,0.12,1,0,0,
32488036,Townhouse in Cape Town · ★5.0 · 4 bedrooms · 4 beds · 3.5 baths,244091164,Fiona,,Ward 23,-33.8152,18.47321,Entire home/apt,,180,12,2021-10-25,0.21,1,0,0,
32491322,Bed and breakfast in Cape Town · 4 bedrooms · 2 beds · 1 shared bath,91525365,G'S General,,Ward 60,-33.99692,18.50115,Private room,600,1,1,2023-03-11,0.10,5,245,1,
32491335,Bed and breakfast in Cape Town · 4 bedrooms · 1 bed · 1 private bath,91525365,G'S General,,Ward 60,-33.99704,18.50183,Private room,700,1,1,2022-12-11,0.08,5,364,0,
32253461,Guest suite in Cape Town · ★4.84 · 1 bedroom · 2 beds · 1 bath,242081512,Karin,,Ward 70,-33.86524,18.61892,Entire home/apt,360,2,32,2021-04-08,0.54,1,0,0,
32493117,Bed and breakfast in Cape Town · 4 bedrooms · 1 bed · 1 shared bath,91525365,G'S General,,Ward 60,-33.9974,18.50172,Private room,700,1,0,,,5,364,0,
32493460,Bed and breakfast in Cape Town · 4 bedrooms · 1 bed · 1 shared bath,91525365,G'S General,,Ward 60,-33.99765,18.50035,Private room,900,1,0,,,5,245,0,
32273308,Townhouse in Cape Town · ★5.0 · 1 bedroom · 1 bed · 1 bath,17182950,Lu,,Ward 77,-33.93899,18.41512,Entire home/apt,2760,2,5,2023-12-12,1.16,27,129,5,
32506444,Serviced apartment in Cape Town · 1 bedroom · 1 bed · 1 bath,243063063,Bantry Bay Suite Hotel,,Ward 54,-33.92192,18.37847,Hotel room,3530,1,0,,,4,0,0,
32506460,Serviced apartment in Cape Town · 1 bedroom · 1 bed · 1 bath,243063063,Bantry Bay Suite Hotel,,Ward 54,-33.92242,18.38026,Hotel room,3680,1,0,,,4,0,0,
32506650,Serviced apartment in Cape Town · 1 bedroom · 1 bed · 1 bath,243063063,Bantry Bay Suite Hotel,,Ward 54,-33.92188,18.38028,Hotel room,3880,1,0,,,4,0,0,
32273907,Rental unit in Cape Town · ★4.81 · 3 bedrooms · 6 beds · 1 bath,13172053,Taryn,,Ward 113,-33.8337,18.50898,Entire home/apt,1450,2,64,2023-12-04,1.12,7,320,8,
32275823,Home in Cape Town · 4 bedrooms · 6 beds · 3 baths,10913063,Lee,,Ward 61,-34.13771,18.32651,Entire home/apt,13357,10,0,,,19,346,0,
32507330,Rental unit in Cape Town · 2 bedrooms · 3 beds · 1 bath,28487472,Nicky,,Ward 74,-34.04318,18.36052,Entire home/apt,,14,1,2019-05-28,0.02,1,0,0,
32276495,Townhouse in Cape Town · ★4.33 · 1 bedroom · 1 bed · 1 shared bath,107575425,Samantha,,Ward 64,-34.09735,18.49006,Private room,375,2,6,2023-04-12,0.12,7,305,1,0501/225/16/3
32514645,Rental unit in Cape Town · ★5.0 · 2 bedrooms · 3 beds · 1 bath,56308742,Libuseng,,Ward 74,-34.04087,18.36663,Entire home/apt,,180,4,2021-01-03,0.08,1,0,0,
32515140,Rental unit in Cape Town · ★4.16 · 2 bedrooms · 3 beds · 2 baths,182609716,Alex,,Ward 54,-33.9488,18.37818,Entire home/apt,1900,4,50,2023-12-22,0.88,3,205,17,
32278562,Rental unit in Cape Town · ★4.85 · 1 bedroom · 1 bed · 1 bath,222421404,Francis,,Ward 115,-33.92876,18.41646,Entire home/apt,2027,1,136,2023-12-15,2.29,1,104,21,
32520758,Guest suite in Cape Town · 1 bedroom · 1 bed · 1 bath,100413710,Agi,,Ward 23,-33.80925,18.48416,Entire home/apt,250,30,1,2019-04-01,0.02,2,54,0,
32524057,Rental unit in Cape Town · ★4.94 · Studio · 1 bed · 1 bath,161702732,Dhey,,Ward 115,-33.91659,18.42817,Entire home/apt,2100,1,18,2023-05-05,0.31,15,0,12,
32296213,Guest suite in Cape Town · ★4.88 · 1 bedroom · 1 bed · 1 private bath,242432663,Lisa,,Ward 62,-34.02184,18.43397,Private room,1500,2,25,2023-11-10,0.42,4,105,6,
32801881,Villa in Cape Town · 5 bedrooms · 5 beds · 4.5 baths,6269301,Lisa,,Ward 54,-33.94969,18.3814,Entire home/apt,55000,5,0,,,23,347,0,
32528469,Rental unit in Cape Town · ★4.75 · 1 bedroom · 1 bed · 1 bath,84895071,Nadine,,Ward 115,-33.92874,18.44454,Entire home/apt,1550,2,59,2023-12-08,1.02,2,334,7,
32536128,Home in Cape Town · ★5.0 · Studio · 1 bed · 1 bath,209218737,Mark,,Ward 23,-33.81711,18.47938,Entire home/apt,240,2,25,2021-06-30,0.43,2,0,0,
32802394,Home in Cape Town · Studio · 2 beds · 2 baths,93537536,Farhad,,Ward 46,-33.97758,18.53359,Private room,550,1,0,,,1,364,0,
32803880,Home in Cape Town · ★4.79 · 1 bedroom · 1 bed · 1 bath,209847399,Linda,,Ward 74,-34.05161,18.34053,Entire home/apt,606,2,33,2023-12-25,0.65,1,129,12,
32538796,Rental unit in Cape Town · ★4.86 · 1 bedroom · 1 bed · 1 bath,244263453,Nicholas,,Ward 115,-33.92311,18.42362,Entire home/apt,1678,1,168,2023-12-16,2.87,1,240,28,
32812268,Guesthouse in Cape Town · ★4.69 · 1 bedroom · 1 bed · 1 bath,246834628,Jeffrey,,Ward 53,-33.93188,18.51802,Entire home/apt,729,1,26,2023-12-09,0.50,1,345,7,
32539328,Guesthouse in Cape Town · ★4.95 · 1 bedroom · 1 bed · 1 bath,23095973,Cristal,,Ward 69,-34.09613,18.38046,Entire home/apt,571,2,21,2023-01-27,0.38,1,105,2,
32822343,Rental unit in Cape Town · ★4.78 · Studio · 1 bed · 1 bath,246925505,Bea,,Ward 115,-33.91139,18.41155,Entire home/apt,1025,3,18,2023-11-10,0.31,1,55,9,
32542974,Guest suite in Cape Town · ★4.90 · 1 bedroom · 2 beds · 1 bath,169625587,Fiona,,Ward 62,-34.03243,18.43326,Entire home/apt,1200,2,52,2023-10-31,0.89,3,207,6,
32562576,Home in Cape Town · ★5.0 · 3 bedrooms · 3 beds · 2 baths,837661,Daniel,,Ward 61,-34.15063,18.42697,Entire home/apt,3800,3,21,2023-12-17,0.43,2,250,6,
32826822,Serviced apartment in Cape Town · ★4.61 · 2 bedrooms · 2 beds · 2.5 baths,102043577,Airo,,Ward 115,-33.9178,18.42789,Entire home/apt,3856,1,57,2023-11-26,0.98,1,191,16,
32565607,Home in Cape Town · ★4.96 · 4 bedrooms · 7 beds · 4 baths,19745781,Nicholas Sadleir,,Ward 61,-34.19993,18.4518,Entire home/apt,14000,2,76,2023-12-07,1.32,42,129,20,
32828668,Rental unit in Cape Town · ★4.19 · 1 bedroom · 1 bed · 1.5 baths,246961391,Shadley,,Ward 115,-33.92466,18.42054,Entire home/apt,1999,2,26,2022-11-06,0.46,1,334,0,
32579784,Rental unit in Cape Town · ★4.94 · 1 bedroom · 1 bed · 1 bath,244852495,Boris,,Ward 15,-34.07453,18.83825,Entire home/apt,707,2,31,2023-12-01,0.54,2,169,12,
32580280,Rental unit in Cape Town · ★4.96 · 3 bedrooms · 4 beds · 2 baths,62608068,Peter,,Ward 64,-34.10621,18.46986,Entire home/apt,900,4,26,2023-12-18,0.44,2,317,8,
32830692,Rental unit in Cape Town · ★4.74 · 3 bedrooms · 3 beds · 2 baths,462818095,Armand,,Ward 115,-33.9086,18.41163,Entire home/apt,6786,3,81,2023-12-09,1.39,5,42,32,
32832237,Rental unit in Cape Town · ★4.83 · 2 bedrooms · 2 beds · 1.5 baths,54940803,Shayne,,Ward 54,-33.91289,18.39137,Entire home/apt,2000,7,6,2021-01-30,0.11,1,88,0,
32581814,Guest suite in Cape Town · ★4.89 · 1 bedroom · 1 bed · 1 private bath,43513512,Cathrine,,Ward 21,-33.87501,18.64648,Private room,450,2,79,2023-12-07,1.34,3,318,11,
32581931,Condo in Cape Town · ★4.86 · 3 bedrooms · 4 beds · 3.5 baths,90798683,Bianca,,Ward 54,-33.93581,18.37804,Entire home/apt,15500,180,77,2023-03-23,1.32,25,150,3,
